date,withdraw
2017-08-11,100.000000
2017-08-14,10410.000000
2017-08-15,189231.630000
2017-08-16,301.110000
2017-08-18,8000.000000
2017-08-21,20613.900000
2017-08-22,56114.970000
2017-08-23,45100.000000
2017-08-24,124172.270000
2017-08-25,156602.190000
2017-08-28,2000.000000
2017-08-29,8100.160000
2017-08-30,151057.760000
2017-08-31,147038.640000
2017-09-01,50966.120000
2017-09-04,15103.290000
2017-09-05,2100.370000
2017-09-06,7000.000000
2017-09-07,98621.240000
2017-09-08,238156.400000
2017-09-11,46379.290000
2017-09-12,373897.910000
2017-09-13,68751.060000
2017-09-14,288179.340000
2017-09-15,913678.480000
2017-09-18,293132.670000
2017-09-19,1308516.750000
2017-09-20,485167.730000
2017-09-21,191214.860000
2017-09-22,199005.770000
2017-09-25,778399.590000
2017-09-26,228665.900000
2017-09-27,242115.880000
2017-09-28,630639.500000
2017-09-29,261414.510000
2017-09-30,226162.050000
2017-10-09,170705.253220
2017-10-10,1033832.280000
2017-10-11,486311.450000
2017-10-12,116171.200000
2017-10-13,120913.440000
2017-10-16,304695.640000
2017-10-17,900411.850000
2017-10-18,652275.190000
2017-10-19,375804.440000
2017-10-20,328806.540000
2017-10-23,184438.140000
2017-10-24,697075.760000
2017-10-25,113137.360000
2017-10-26,84476.580000
2017-10-27,115421.840000
2017-10-30,31646.580000
2017-10-31,392872.370000
2017-11-01,195308.830000
2017-11-02,125585.560000
2017-11-03,579890.220000
2017-11-06,182203.490000
2017-11-07,515813.120000
2017-11-08,506161.370000
2017-11-09,539714.160000
2017-11-10,236167.150000
2017-11-13,304120.120000
2017-11-14,318377.140000
2017-11-15,466264.470000
2017-11-16,136122.650000
2017-11-17,186633.810000
2017-11-20,239828.900000
2017-11-21,826050.280000
2017-11-22,412884.080000
2017-11-23,132653.890000
2017-11-24,164715.600000
2017-11-27,235564.170000
2017-11-28,971186.780000
2017-11-29,130583.990000
2017-11-30,488445.620000
2017-12-01,148093.360000
2017-12-04,1156224.620000
2017-12-05,372759.410000
2017-12-06,217031.100000
2017-12-07,261040.160000
2017-12-08,266987.970000
2017-12-11,232428.230000
2017-12-12,1108825.730000
2017-12-13,711935.620000
2017-12-14,146820.900000
2017-12-15,269335.200000
2017-12-18,147260.510000
2017-12-19,1308058.780000
2017-12-20,217546.690000
2017-12-21,314314.280000
2017-12-22,491834.030000
2017-12-25,261147.500000
2017-12-26,391034.530000
2017-12-27,614297.870000
2017-12-28,307411.800000
2017-12-29,385397.650000
2018-01-02,311752.310000
2018-01-03,482855.790000
2018-01-04,1224922.950000
2018-01-05,549060.580000
2018-01-08,85763.130000
2018-01-09,2394326.780000
2018-01-10,251087.950000
2018-01-11,476427.390000
2018-01-12,443101.800000
2018-01-15,248638.350000
2018-01-16,539555.510000
2018-01-17,121614.660000
2018-01-18,288402.060000
2018-01-19,126628.210000
2018-01-22,113332.230000
2018-01-23,458904.600000
2018-01-24,141680.010000
2018-01-25,143026.130000
2018-01-26,172238.490000
2018-01-29,28763.260000
2018-01-30,205920.300000
2018-01-31,55664.510000
2018-02-01,68726.330000
2018-02-02,487168.230000
2018-02-05,437569.930000
