hot,info,rate,title,title2
"(
                    271022人评价
                )",[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,8.8,"
                追风筝的人

                
              ",The Kite Runner
"(
                    219994人评价
                )",[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,9.0,"
                小王子

                
              ",Le Petit Prince
"(
                    185346人评价
                )",钱锺书 / 人民文学出版社 / 1991-2 / 19.00,8.9,"
                围城

                
              ",
"(
                    127265人评价
                )",余华 / 南海出版公司 / 1998-5 / 12.00元,9.1,"
                活着

                
              ",
"(
                    211384人评价
                )",[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,8.6,"
                解忧杂货店

                
              ",ナミヤ雑貨店の奇蹟
"(
                    185540人评价
                )",[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,9.1,"
                白夜行

                
              ",白夜行
"(
                    183096人评价
                )",[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,8.0,"
                挪威的森林

                
              ",ノルウェイの森
"(
                    137555人评价
                )",[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,8.9,"
                嫌疑人X的献身

                
              ",容疑者Xの献身
"(
                    136466人评价
                )",刘慈欣 / 重庆出版社 / 2008-1 / 23.00,8.8,"
                三体

                
                  ",
"(
                    132880人评价
                )",[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,8.5,"
                不能承受的生命之轻

                
              ",Nesnesitelná lehkost bytí
"(
                    117839人评价
                )",[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,9.5,"
                红楼梦

                
              ",
"(
                    144882人评价
                )",郭敬明 / 春风文艺出版社 / 2003-11 / 20.00元,7.2,"
                梦里花落知多少

                
              ",
"(
                    125565人评价
                )",[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元,8.2,"
                达·芬奇密码

                
              ",The Da Vinci Code
"(
                    115181人评价
                )",柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,8.8,"
                看见

                
              ",
"(
                    106425人评价
                )",[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,9.2,"
                百年孤独

                
              ",Cien años de soledad
