date,new_register,new_cg_register
2017-08-10,18.0,3.0
2017-08-11,14.0,7.0
2017-08-12,19.0,6.0
2017-08-13,10.0,7.0
2017-08-14,22.0,15.0
2017-08-15,16.0,13.0
2017-08-16,21.0,13.0
2017-08-17,22.0,20.0
2017-08-18,22.0,16.0
2017-08-19,11.0,4.0
2017-08-20,21.0,16.0
2017-08-21,32.0,28.0
2017-08-22,7.0,5.0
2017-08-23,13.0,5.0
2017-08-24,28.0,3.0
2017-08-25,26.0,4.0
2017-08-26,20.0,7.0
2017-08-27,28.0,9.0
2017-08-28,12.0,7.0
2017-08-29,12.0,3.0
2017-08-30,21.0,6.0
2017-08-31,9.0,1.0
2017-09-01,11.0,3.0
2017-09-02,10.0,5.0
2017-09-03,59.0,3.0
2017-09-04,57.0,3.0
2017-09-05,72.0,18.0
2017-09-06,80.0,22.0
2017-09-07,77.0,10.0
2017-09-08,134.0,8.0
2017-09-09,140.0,7.0
2017-09-10,132.0,0.0
2017-09-11,117.0,5.0
2017-09-12,126.0,11.0
2017-09-13,114.0,10.0
2017-09-14,122.0,7.0
2017-09-15,202.0,22.0
2017-09-16,216.0,16.0
2017-09-17,160.0,10.0
2017-09-18,201.0,10.0
2017-09-19,186.0,15.0
2017-09-20,222.0,13.0
2017-09-21,207.0,12.0
2017-09-22,79.0,5.0
2017-09-23,18.0,3.0
2017-09-24,2.0,2.0
2017-09-25,10.0,1.0
2017-09-26,10.0,0.0
2017-09-27,12.0,6.0
2017-09-28,327.0,250.0
2017-09-29,220.0,141.0
2017-09-30,172.0,90.0
2017-10-01,397.0,334.0
2017-10-02,67.0,7.0
2017-10-03,440.0,390.0
2017-10-04,53.0,3.0
2017-10-05,324.0,267.0
2017-10-06,180.0,114.0
2017-10-07,331.0,279.0
2017-10-08,349.0,301.0
2017-10-09,325.0,271.0
2017-10-10,197.0,139.0
2017-10-11,356.0,289.0
2017-10-12,392.0,285.0
2017-10-13,314.0,223.0
2017-10-14,233.0,137.0
2017-10-15,96.0,6.0
2017-10-16,73.0,18.0
2017-10-17,300.0,32.0
2017-10-18,242.0,37.0
2017-10-19,213.0,25.0
2017-10-20,74.0,16.0
2017-10-21,53.0,6.0
2017-10-22,45.0,7.0
2017-10-23,61.0,6.0
2017-10-24,58.0,16.0
2017-10-25,57.0,12.0
2017-10-26,72.0,7.0
2017-10-27,117.0,7.0
2017-10-28,105.0,7.0
2017-10-29,110.0,5.0
2017-10-30,94.0,11.0
2017-10-31,104.0,8.0
2017-11-01,18.0,2.0
2017-11-02,38.0,6.0
2017-11-03,30.0,2.0
2017-11-04,50.0,4.0
2017-11-05,55.0,6.0
2017-11-06,69.0,4.0
2017-11-07,227.0,133.0
2017-11-08,573.0,438.0
2017-11-09,114.0,60.0
2017-11-10,77.0,10.0
2017-11-11,8.0,5.0
2017-11-12,1.0,1.0
2017-11-13,20.0,12.0
2017-11-14,18.0,8.0
2017-11-15,25.0,6.0
2017-11-16,44.0,11.0
2017-11-17,41.0,9.0
2017-11-18,49.0,6.0
2017-11-19,45.0,10.0
2017-11-20,50.0,13.0
2017-11-21,64.0,15.0
2017-11-22,57.0,13.0
2017-11-23,56.0,15.0
2017-11-24,54.0,19.0
2017-11-25,45.0,12.0
2017-11-26,46.0,8.0
2017-11-27,82.0,39.0
2017-11-28,71.0,32.0
2017-11-29,47.0,21.0
2017-11-30,63.0,14.0
2017-12-01,64.0,17.0
2017-12-02,50.0,9.0
2017-12-03,52.0,11.0
2017-12-04,48.0,12.0
2017-12-05,81.0,27.0
2017-12-06,53.0,16.0
2017-12-07,88.0,24.0
2017-12-08,53.0,18.0
