date,withdrawable
2017-08-10,33482.010000
2017-08-11,674701.000000
2017-08-12,100843.971095
2017-08-13,757944.302736
2017-08-14,794025.496565
2017-08-15,1120170.718200
2017-08-16,1398352.880375
2017-08-17,1717008.693228
2017-08-18,1996985.782240
2017-08-19,2111958.196035
2017-08-20,2298603.245715
2017-08-21,2723368.170461
2017-08-22,2923266.820953
2017-08-23,2730135.102663
2017-08-24,2772226.414369
2017-08-25,2897274.299770
2017-08-26,2908291.346129
2017-08-27,2976457.996046
2017-08-28,2974320.632262
2017-08-29,2848934.040553
2017-08-30,3233929.619227
2017-08-31,3797041.511565
2017-09-01,4054083.141602
2017-09-02,4103548.434925
2017-09-03,4261130.810848
2017-09-04,5079174.419509
2017-09-05,5455432.745426
2017-09-06,5374467.112025
2017-09-07,5215246.116701
2017-09-08,5160398.639588
2017-09-09,5832339.044798
2017-09-10,5280986.361236
2017-09-11,5604288.514930
2017-09-12,5789840.889719
2017-09-13,5385715.018052
2017-09-14,4752478.245151
2017-09-15,4873405.294438
2017-09-16,5009053.097344
2017-09-17,5105645.351792
2017-09-18,4920640.168128
2017-09-19,5031932.089232
2017-09-20,5443273.498440
2017-09-21,5590267.138272
2017-09-22,5615669.475118
2017-09-23,5753130.387252
2017-09-24,5848842.001568
2017-09-25,5870986.315339
2017-09-26,5914018.341909
2017-09-27,5455506.592505
2017-09-28,5768696.473196
2017-09-29,5900483.992170
2017-09-30,6078297.025967
2017-10-01,6358097.825482
2017-10-02,6237876.512364
2017-10-03,6274477.675789
2017-10-04,6500944.758120
2017-10-05,6569998.407568
2017-10-06,6437750.436464
2017-10-07,6627401.749879
2017-10-08,6689658.714802
2017-10-09,6548451.602242
2017-10-10,6686381.025277
2017-10-11,6883702.435287
2017-10-12,6835430.017211
2017-10-13,6904359.091393
2017-10-14,7289135.260837
2017-10-15,7687188.204517
2017-10-16,7673947.755820
2017-10-17,7218285.862705
2017-10-18,7303495.571019
2017-10-19,7459948.581359
2017-10-20,7688052.371765
2017-10-21,7549547.584179
2017-10-22,7835221.360919
2017-10-23,7904282.725220
2017-10-24,7838384.047883
2017-10-25,7911518.979798
2017-10-26,8395799.689117
2017-10-27,8182323.299114
2017-10-28,8239148.729294
2017-10-29,8252242.832231
2017-10-30,8775168.300071
2017-10-31,8902809.850540
2017-11-01,8723058.260068
2017-11-02,8678921.372825
2017-11-03,8848246.237934
2017-11-04,8794272.099510
2017-11-05,8468412.296803
2017-11-06,8582293.695066
2017-11-07,8561159.272480
2017-11-08,8852204.439895
2017-11-09,8662256.567426
2017-11-10,8263246.618122
2017-11-11,8411729.926658
2017-11-12,8895279.009936
2017-11-13,8854433.087315
2017-11-14,9136024.962760
2017-11-15,8700290.518867
2017-11-16,8481158.318972
2017-11-17,8975665.078238
2017-11-18,9427754.864903
2017-11-19,9406149.983555
2017-11-20,9042889.365671
2017-11-21,9146874.592151
2017-11-22,9219858.616820
2017-11-23,9391886.204533
2017-11-24,9789715.119174
2017-11-25,10131960.635369
2017-11-26,9953918.644529
2017-11-27,9567648.830108
2017-11-28,9565333.540357
2017-11-29,9417197.852532
2017-11-30,8987129.224200
2017-12-01,8967547.484439
2017-12-02,8902193.160338
2017-12-03,8874277.201864
2017-12-04,8912816.953418
2017-12-05,8826340.440304
2017-12-06,8828296.371697
2017-12-07,8806427.662030
2017-12-08,8707500.484703
2017-12-09,8790173.101628
2017-12-10,8865595.813167
2017-12-11,8328395.351009
2017-12-12,8323563.090936
2017-12-13,8561927.592873
2017-12-14,8553764.591658
2017-12-15,9193795.304875
2017-12-16,9396619.654192
2017-12-17,10083631.144258
2017-12-18,9393817.196467
2017-12-19,10035350.240369
2017-12-20,9845104.625224
2017-12-21,9244103.720682
2017-12-22,9396445.342765
2017-12-23,9451105.317055
2017-12-24,9434226.492104
2017-12-25,9609140.471235
2017-12-26,9002009.211492
2017-12-27,9158795.508065
2017-12-28,9176534.299706
2017-12-29,10258527.046858
2017-12-30,10288307.769259
2017-12-31,10318763.920218
2018-01-01,10453757.701345
2018-01-02,10467090.730072
2018-01-03,9779009.393475
2018-01-04,9814383.191632
2018-01-05,9998281.719491
2018-01-06,10037666.103189
2018-01-07,10049151.179356
2018-01-08,8245386.351485
2018-01-09,7941027.643845
2018-01-10,7744406.744905
2018-01-11,7697972.520696
2018-01-12,7662563.235649
2018-01-13,7723033.827555
2018-01-14,8215095.853847
2018-01-15,8105347.023728
2018-01-16,7347917.084437
2018-01-17,7180799.904629
2018-01-18,7278249.208751
2018-01-19,7187731.142054
2018-01-20,7349892.808106
2018-01-21,7535344.854053
2018-01-22,7009039.405352
2018-01-23,7033979.213800
2018-01-24,6958181.037699
2018-01-25,7204926.205878
2018-01-26,7642635.708595
2018-01-27,7482904.866915
2018-01-28,7659866.298494
2018-01-29,7688173.875442
2018-01-30,8253519.288838
2018-01-31,8342996.105838
2018-02-01,8319198.810238
2018-02-02,8255249.317483
2018-02-03,8584022.791305
2018-02-04,8512112.861659
2018-02-05,8151049.675228
2018-02-06,7916328.175244
