date,线上零钱包转入本金,线上零钱包转入利息,线上零钱包转出本息,线下零钱包转入本金,线下零钱包转入利息,线下零钱包转出本息,火柴一转出本息,火柴二转出本息,i_xinshoubiao,w_xinshoubiao,i_lianliankan,w_lianliankan,i_duiduipeng,w_duiduipeng,i_lulushun,w_lulushun,i_mantanghong,w_mantanghong,i_nianyueli360,w_nianyueli360,interest_nianyueli,i_xinshouzhuan,w_xinshouzhuan,i_yueyuezhuan,w_yueyuezhuan,i_jijizhuan,w_jijizhuan,i_bannianzhuan,w_bannianzhuan,i_huodongbiao,w_huodongbiao,yueyuejia_withdraw
2017/4/17,2597,90.24213,18815.63,30640,227.9298,31703.49,1664.33,450,0,600,50200,493900,0,0,152000,11000,10500,0,0,0,5.2684,0,0,21000,31300,0,0,0,0,0,0,3000
2017/4/18,5863,88.9743,13943.78,26360,227.15413,47375.85,0,1090,20000,3000,0,52600,0,5000,0,0,1000,0,0,0,4.4383,0,0,13300,4000,0,0,0,0,0,0,0
2017/4/19,12297,87.49375,7732.75,15360,224.91741,20227.83,202.04,355.55,19000,0,25000,35000,5000,20000,15000,56000,0,0,0,0,4.0274,0,0,13500,300,0,0,10000,0,0,0,0
2017/4/20,3166,87.25933,18077.53,32724,225.83741,30561.43,51.17,127.85,0,0,20000,9600,0,0,0,0,10200,0,0,0,18.0822,0,1000,500,19000,0,0,0,0,0,0,0
2017/4/21,163,86.51076,23.07,30595,223.84992,29530.04,0,6568,11000,16700,10000,47600,0,100000,0,0,23000,0,0,0,20.9514,1000,0,16000,2000,0,0,0,0,0,0,0
2017/4/22,11636,86.92304,3793.83,13853,224.29923,20,10509.89,0,0,3500,0,62700,0,0,50000,0,0,0,10000,0,693.3729,0,0,20000,3000,0,0,0,0,0,0,0
2017/4/23,969,86.46992,2733.77,12040,228.34959,3847,0,710,0,0,0,10000,12100,0,0,1000,12000,0,0,0,129.0449,100,0,50000,0,0,0,0,0,0,0,0
2017/4/24,17372,87.65146,20044.44,31861,229.69531,65175.76,0,11351.61,0,10000,0,33500,20000,0,0,0,20700,0,0,0,274.8408,0,0,2300,1000,0,0,0,0,0,0,100
2017/4/25,7767,85.15429,1607,46348,222.73796,58219.52,1006.58,438.79,0,0,10000,0,0,0,0,0,0,0,0,0,4.9512,0,0,2200,0,0,0,3000,0,0,0,0
2017/4/26,5237,87.23882,3100.04,43594,219.30087,21256.11,13880.87,0,10000,10100,0,0,0,0,8000,12300,20000,0,0,0,0.8054,0,0,1000,0,5000,0,10000,0,0,0,0
2017/4/27,7274,87.86399,1502,21642,222.62958,27608.01,413.09,0,0,200,300,114000,71500,10000,10000,0,100,0,100,0,46.0108,0,100,23500,2500,0,0,0,0,0,0,0
2017/4/28,4,88.36692,4455.58,56519,224.76107,35234.18,0,6523.02,0,10000,15000,6100,35000,0,18000,0,9000,0,0,0,4.8328,10000,0,1000,1000,0,0,1500,0,0,0,0
2017/4/29,5092,88.74972,10001,17655,223.00317,28710.25,0,0,0,20000,10100,101500,10000,0,0,0,30000,0,100,0,8.0548,0,0,10000,10000,0,0,1000,0,0,0,0
